0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"(540.0, 1770.0)","(691.875, 1470.0)","(489.375, 1170.0)","(438.75, 1140.0)","(742.5, 720.0)","(523.125, 1710.0)","(455.625, 1140.0)","(573.75, 750.0)","(573.75, 720.0)","(590.625, 480.0)","(759.375, 720.0)","(860.625, 840.0)","(607.5, 780.0)","(540.0, 780.0)","(776.25, 750.0)","(725.625, 720.0)"
"(540.0, 1800.0)","(708.75, 1470.0)","(472.5, 1170.0)","(421.875, 1140.0)","(742.5, 750.0)","(523.125, 1740.0)","(455.625, 1140.0)","(573.75, 780.0)","(590.625, 750.0)","(590.625, 510.0)","(877.5, 870.0)","(759.375, 840.0)","(607.5, 810.0)","(540.0, 780.0)","(810.0, 780.0)","(708.75, 720.0)"
"(540.0, 1770.0)","(708.75, 1470.0)","(472.5, 1200.0)","(421.875, 1170.0)","(776.25, 780.0)","(540.0, 1740.0)","(438.75, 1170.0)","(590.625, 810.0)","(590.625, 780.0)","(607.5, 510.0)","(877.5, 900.0)","(776.25, 870.0)","(641.25, 840.0)","(540.0, 780.0)","(489.375, 690.0)","(725.625, 780.0)"
"(556.875, 1770.0)","(725.625, 1500.0)","(472.5, 1230.0)","(405.0, 1170.0)","(759.375, 780.0)","(540.0, 1740.0)","(438.75, 1200.0)","(590.625, 840.0)","(590.625, 810.0)","(590.625, 540.0)","(911.25, 960.0)","(860.625, 900.0)","(641.25, 870.0)","(523.125, 810.0)","(489.375, 720.0)","(742.5, 810.0)"
"(556.875, 1770.0)","(725.625, 1500.0)","(472.5, 1230.0)","(405.0, 1200.0)","(776.25, 840.0)","(540.0, 1740.0)","(438.75, 1230.0)","(590.625, 870.0)","(590.625, 840.0)","(624.375, 570.0)","(911.25, 990.0)","(877.5, 960.0)","(675.0, 900.0)","(540.0, 840.0)","(506.25, 750.0)","(523.125, 750.0)"
"(556.875, 1740.0)","(725.625, 1500.0)","(455.625, 1260.0)","(388.125, 1230.0)","(776.25, 870.0)","(556.875, 1770.0)","(421.875, 1230.0)","(607.5, 870.0)","(607.5, 870.0)","(624.375, 600.0)","(894.375, 990.0)","(793.125, 960.0)","(675.0, 930.0)","(556.875, 870.0)","(506.25, 780.0)","(826.875, 930.0)"
"(556.875, 1770.0)","(725.625, 1500.0)","(438.75, 1260.0)","(371.25, 1230.0)","(776.25, 870.0)","(810.0, 930.0)","(405.0, 1230.0)","(607.5, 900.0)","(624.375, 900.0)","(624.375, 630.0)","(877.5, 1020.0)","(776.25, 990.0)","(658.125, 930.0)","(540.0, 870.0)","(523.125, 810.0)","(556.875, 780.0)"
"(556.875, 1740.0)","(725.625, 1470.0)","(438.75, 1290.0)","(371.25, 1230.0)","(793.125, 900.0)","(810.0, 930.0)","(405.0, 1260.0)","(624.375, 930.0)","(624.375, 930.0)","(624.375, 660.0)","(877.5, 1050.0)","(877.5, 1050.0)","(658.125, 960.0)","(573.75, 930.0)","(523.125, 840.0)","(556.875, 810.0)"
"(556.875, 1770.0)","(793.125, 900.0)","(438.75, 1290.0)","(371.25, 1260.0)","(793.125, 930.0)","(877.5, 1020.0)","(405.0, 1290.0)","(624.375, 900.0)","(624.375, 960.0)","(624.375, 690.0)","(877.5, 1080.0)","(742.5, 1050.0)","(658.125, 990.0)","(556.875, 930.0)","(877.5, 1050.0)","(860.625, 1020.0)"
"(860.625, 1110.0)","(675.0, 1020.0)","(421.875, 1290.0)","(354.375, 1260.0)","(810.0, 990.0)","(894.375, 1080.0)","(388.125, 1260.0)","(624.375, 960.0)","(624.375, 990.0)","(641.25, 720.0)","(860.625, 1110.0)","(725.625, 1050.0)","(658.125, 1020.0)","(573.75, 960.0)","(894.375, 1110.0)","(877.5, 1080.0)"
"(877.5, 1140.0)","(691.875, 1050.0)","(405.0, 1320.0)","(354.375, 1290.0)","(810.0, 990.0)","(894.375, 1110.0)","(388.125, 1320.0)","(641.25, 990.0)","(624.375, 990.0)","(810.0, 930.0)","(877.5, 1140.0)","(725.625, 1080.0)","(675.0, 1050.0)","(708.75, 1050.0)","(894.375, 1140.0)","(860.625, 1080.0)"
"(877.5, 1170.0)","(793.125, 990.0)","(438.75, 1320.0)","(371.25, 1320.0)","(793.125, 990.0)","(894.375, 1140.0)","(405.0, 1320.0)","(658.125, 1050.0)","(658.125, 1020.0)","(607.5, 780.0)","(590.625, 930.0)","(894.375, 1170.0)","(675.0, 1080.0)","(658.125, 1050.0)","(894.375, 1200.0)","(556.875, 930.0)"
"(776.25, 930.0)","(691.875, 1110.0)","(421.875, 1320.0)","(354.375, 1320.0)","(877.5, 1140.0)","(658.125, 1020.0)","(405.0, 1350.0)","(658.125, 1020.0)","(658.125, 1050.0)","(658.125, 780.0)","(793.125, 1080.0)","(894.375, 1200.0)","(691.875, 1110.0)","(776.25, 960.0)","(911.25, 1200.0)","(556.875, 960.0)"
"(810.0, 1140.0)","(675.0, 1080.0)","(421.875, 1350.0)","(354.375, 1320.0)","(810.0, 1110.0)","(877.5, 1170.0)","(388.125, 1350.0)","(641.25, 1050.0)","(641.25, 1080.0)","(675.0, 810.0)","(810.0, 1050.0)","(894.375, 1230.0)","(675.0, 1110.0)","(708.75, 1140.0)","(894.375, 1230.0)","(877.5, 1140.0)"
